name	aeroway	@lat	@lon
3ème Régiment d'hélicoptères de combat	helipad	49.2249022	5.6776826
	helipad	45.6838651	6.8859935
	helipad	48.8843635	2.4490034
	helipad	47.4361970	0.7259296
	helipad	50.8721610	4.4262028
	helipad	49.4688551	8.6793897
	helipad	45.8711059	7.8727533
	helipad	51.2905995	8.6095319
	helipad	49.6918987	8.7845734
	helipad	51.3900056	-2.3897736
	helipad	45.1539122	6.9172287
	helipad	45.2155936	7.0421915
	helipad	43.0023712	6.2052565
	helipad	46.3267758	8.5944129
	helipad	44.0459291	8.1228357
Hélistation de Toulon-Saint-Mandrier	heliport	43.0826988	5.9338198
Westmalle heliport	helipad	51.2872238	4.7141671
Oostdijckbank platform heliport	helipad	51.2744446	2.4475000
Reninge heliport	helipad	50.9338875	2.7550001
Castets Heliport	helipad	43.9166679	-1.1569440
Pontonx Heliport	helipad	43.7777786	-0.9194440
Relais De Margaux Heliport	helipad	45.0529556	-0.6622500
Centre d'Etude du C.E.A. Heliport	helipad	47.5848954	4.8795899
Centre Vinicole Heliport	helipad	49.0233345	3.9849999
Hôtel Florotel Heliport	helipad	48.7259266	3.8341459
Hôtellerie La Briquetterie Heliport	helipad	49.0250015	3.9069440
Château Castel Novel Heliport	helipad	45.1833344	1.4500000
Héliport du Château de Saint-Maixant	helipad	45.9936104	2.2088890
CHU Purpan	helipad	43.6132630	1.4000839
	helipad	49.5332020	-1.8813416
Center Parc Heliport	helipad	48.7249985	0.8361110
	helipad	49.3701116	3.3351692
Toulon Sainte-Anne Héliport	helipad	43.1333313	5.9299998
Héliport de la clinique pneumologique des Rieux	helipad	44.3580551	5.1497221
Flaine-Ete Heliport	helipad	46.0033340	6.6966672
Flaine-Hiver Heliport	helipad	46.0038872	6.6902781
Grand Colombier Heliport	helipad	45.8815062	5.7574825
Magland Heliport	helipad	45.9833336	6.7166672
Quartier-Reynies Heliport	helipad	45.0999985	5.6833329
Refuge du Requin	helipad	45.8847966	6.9300277
Tête De Solaise Heliport	helipad	45.4327774	6.9916668
Vilaller Heliport	helipad	42.3046989	0.7130560
41	helipad	51.2383949	-0.9454238
42	helipad	51.2387089	-0.9449787
43	helipad	51.2389827	-0.9445737
	helipad	49.7072509	7.2894518
	helipad	45.7993267	6.9227211
	helipad	43.9110906	2.1683227
	helipad	44.4882669	6.5564327
	helipad	50.6553649	5.6688551
	helipad	51.1304519	6.9411640
	helipad	44.1137519	0.8372091
	helipad	50.9213311	6.9387617
	helipad	48.6378347	2.7287893
	helipad	51.3991567	0.5099331
Héliport du centre hospitalier	helipad	45.2708091	1.7710301
	helipad	49.4758568	8.5104422
	helipad	51.3650336	0.2577899
	helipad	48.6843881	8.1394491
	helipad	46.3715486	8.5541384
	helipad	46.3782769	8.5447568
	helipad	46.0047432	8.4798016
	helipad	47.4520929	7.0114840
	helipad	50.9337336	4.4692415
	helipad	49.2400538	7.0287589
	helipad	46.0884445	7.8067468
	helipad	45.0127552	8.4274585
Chamonix-Mont-Blanc Hélicopter	helipad	45.9785945	6.9371628
	helipad	45.7408831	7.3819016
	helipad	50.3307728	3.4601296
	helipad	51.2652828	1.0834357
	helipad	43.6478341	-1.4454643
Varigny	helipad	47.1211026	3.6570447
Optionaler Hubschrauberlandeplatz Schützenplatz Ratingen	helipad	51.3040257	6.8611088
	helipad	49.5483142	6.3292650
	helipad	46.2517099	6.9408090
	helipad	45.7777897	7.7957665
	helipad	51.2973602	7.8203152
	helipad	45.9267635	7.6245411
	helipad	50.9610071	-2.9374406
	helipad	50.2275724	5.3214550
	helipad	45.6755737	6.9864064
	helipad	50.5333367	6.4883940
	helipad	51.3702464	0.2536139
	helipad	49.4328081	-2.3919088
	helipad	44.6294200	4.7538700
	helipad	47.5075800	2.8738700
	helipad	49.4146000	6.2224000
	helipad	47.7292887	2.5220556
	helipad	42.6782399	1.7982889
	helipad	45.4165343	-1.1588463
	helipad	43.8315957	4.3477697
	helipad	47.8540913	7.9474522
	helipad	46.0688687	8.6467728
	helipad	42.8104593	-0.9538446
Kreas	helipad	45.8745442	7.9361031
	helipad	47.0605517	4.8177478
	helipad	45.8668724	8.5661066
